"well_name","API_WellNo","BH_FtNS","BH_Lat","BH_Long"
"1Y-15","50029209190000",1784,70.353164,-149.791212
"2Z-08","50029209240000",1172,70.303478,-149.745756
"1Y-11","50029209260000",1495,70.339353,-149.772989
"1Y-16","50029209270000",1169,70.354843,-149.773432
"1Y-01","50029209330000",1518,70.347762,-149.748177
"1Y-10","50029209340000",928,70.331578,-149.797548
"1Y-09","50029209350000",1253,70.332463,-149.771745
"1Y-02","50029209410000",864,70.355676,-149.748437
"1Y-03","50029209430000",797,70.355859,-149.724188
"1Y-08","50029209440000",1163,70.340257,-149.751655
"2Z-07","50029209460000",1626,70.310242,-149.725569
"1Y-04","50029209480000",1502,70.347718,-149.72711
"1Y-07","50029209500000",598,70.33068,-149.747073
"2Z-01","50029209530000",1421,70.310801,-149.770565
"2Z-05","50029209560000",1001,70.326326,-149.723654
"2Z-06","50029209570000",1328,70.31829,-149.745344
"1Y-06","50029209580000",1036,70.331872,-149.724074
"2Z-02","50029209600000",1593,70.304626,-149.787325
"2C-01","50029209620000",1079,70.288827,-149.877406
"2X-01","50029209630000",1599,70.33907,-149.834495
"2Z-03","50029209640000",1284,70.31817,-149.793168
"2Z-04","50029209650000",1090,70.326084,-149.770807
"1Y-05","50029209660000",1708,70.338774,-149.728616
"2C-03","50029209680000",1238,70.303658,-149.878594
"2C-02","50029209720000",1533,70.296104,-149.876695
"2C-04","50029209730000",782,70.312542,-149.877834
"2C-08","50029209740000",1235,70.289253,-149.833784
"2C-07","50029209750000",1444,70.296346,-149.832515
"2C-05","50029209780000",1154,70.311529,-149.833145
"2C-06","50029209790000",1370,70.304018,-149.832394
"2X-02","50029209820000",1363,70.332762,-149.833186
"1F-09","50029209830000",4347,70.288429,-149.686025
"1F-10","50029209840000",1635,70.295826,-149.710349
"2X-05","50029209850000",966,70.317304,-149.879911
"2X-03","50029209870000",1610,70.324668,-149.829355
"2X-06","50029209880000",1449,70.325107,-149.876307
"2X-07","50029209910000",1310,70.332618,-149.876557
"2X-08","50029209920000",1430,70.33953,-149.876977
"1F-11","50029209930000",3988,70.311153,-149.707375
"2X-04","50029209950000",1171,70.317862,-149.833436
"1G-09","50029210010000",1143,70.369325,-149.668401
"1G-10","50029210030000",1444,70.361976,-149.641385
"1G-11","50029210080000",1749,70.353251,-149.64197
"1G-12","50029210090000",1148,70.346751,-149.64197
"1F-12","50029210120000",1135,70.303377,-149.687196
"1G-13","50029210160000",1378,70.347379,-149.68223
"1G-14","50029210170000",2309,70.35173,-149.662469
"1F-13","50029210200000",1299,70.311133,-149.664763
"1F-14","50029210220000",910,70.302764,-149.642823
"1G-15","50029210240000",1144,,
"1F-15","50029210250000",1430,70.296385,-149.66667
"1F-16","50029210290000",543,70.287365,-149.642095
"1G-16","50029210310000",1437,70.368523,-149.711704
"2F-13","50029210320000",1165,70.260237,-149.875232
"2V-01","50029210340000",4572,70.302213,-149.961054
"2F-14","50029210350000",1097,70.260052,-149.832426
"2V-02","50029210370000",1635,70.310218,-149.961264
"2V-03","50029210400000",1378,70.318426,-149.960585
"2V-04","50029210410000",3954,70.325442,-149.96166
"2F-15","50029210480000",1450,70.267516,-149.834697
"2V-05","50029210510000",1126,70.325986,-149.916947
"2F-16","50029210520000",1377,70.267715,-149.878683
"2V-06","50029210540000",1299,70.318211,-149.917367
"2V-07","50029210550000",1559,70.310425,-149.917044
"2F-01","50029210580000",1315,70.275064,-149.876137
"2V-08","50029210610000",493,70.316016,-149.92603
"2F-03","50029210620000",1348,70.282206,-149.83321
"2F-02","50029210630000",1360,70.275187,-149.830705
"2F-04","50029210650000",980,70.28321,-149.878788
"2B-05","50029210670000",915,70.273972,-149.917133
"2D-13","50029210700000",1095,70.274464,-149.769482
"2F-05","50029210730000",1227,70.282536,-149.85452
"2F-05AXX","50029210739500",1610,,
"2F-06","50029210750000",1025,70.283088,-149.811868
"2F-07","50029210760000",1653,70.275987,-149.809104
"2F-08","50029210770000",1090,70.27445,-149.853882
"2B-06","50029210780000",1419,70.285578,-149.913432
"2B-08","50029210790000",1233,70.28252,-149.959567
"2B-07","50029210800000",4235,70.274327,-149.960965
"2B-09","50029210820000",1083,70.288838,-149.963567
