"well_name","API_WellNo","BH_FtNS","BH_Lat","BH_Long"
"3O-18","50029217930000",1294,70.448116,-149.771711
"3O-17","50029217950000",1646,70.454502,-149.79158
"3O-16","50029217960000",1116,70.462038,-149.813552
"3O-15","50029217970000",1710,70.463658,-149.837618
"3O-14","50029218020000",1242,70.462381,-149.769559
"3O-13","50029218030000",1109,70.462018,-149.790635
"3O-12","50029218040000",1256,70.469968,-149.791833
"3O-11","50029218050000",1387,70.469611,-149.815206
"3O-10","50029218230000",1097,70.470401,-149.833258
"3O-06","50029218240000",1351,70.477075,-149.818825
"3O-09","50029218250000",1288,70.469881,-149.767913
"3O-04","50029218260000",1337,70.477037,-149.824163
"3O-08","50029218280000",1525,70.477549,-149.791189
"3O-01","50029218360000",1008,,
"3O-02","50029218370000",3397,70.482607,-149.842524
"3O-03","50029218380000",1184,70.484555,-149.770399
"3O-05","50029218390000",1067,70.484874,-149.790944
"3O-07","50029218400000",1357,70.477091,-149.768093
"1Y-25","50029218500000",2309,70.335337,-149.761118
"1Y-30","50029218510000",253,70.358725,-149.77878
"1Y-29","50029218520000",344,70.344555,-149.781328
"1Y-26","50029218530000",2546,70.335982,-149.779252
"1Y-32","50029218540000",188,70.342909,-149.760059
"2Z-20","50029218760000",495,70.330399,-149.716567
"2Z-21","50029218770000",83,70.329278,-149.778355
"2Z-29","50029218810000",1102,70.303287,-149.716583
"2Z-19","50029218820000",2587,70.321719,-149.778113
"2Z-18","50029218840000",2456,70.321362,-149.758055
"11-10/1","50029219010000",1550,70.267243,-149.591281
"3I-16","50029219200000",1665,70.420142,-149.997143
"3I-17","50029219220000",2224,70.421664,-149.970395
"3I-13","50029219230000",1410,70.426143,-149.994651
"3I-11","50029219320000",808,70.427781,-149.974728
"3I-10","50029219340000",1801,70.435085,-149.973556
"3I-06","50029219350000",1339,70.433823,-149.920362
"16-10-10","50029220080000",1251,70.224715,-149.593663
"14-10-9","50029220090000",2066,70.222494,-149.776301
"1L-09","50029220250000",1432,70.281977,-149.621295
"1L-10","50029220260000",1414,70.275334,-149.625594
"1L-20","50029220270000",1774,70.276317,-149.599976
"1L-12","50029220330000",1250,70.268062,-149.639324
"1L-11","50029220340000",1436,70.267554,-149.622547
"1L-21","50029220430000",852,70.269148,-149.639412
"1L-19","50029220490000",1210,70.26036,-149.636964
"1A-17","50029221020000",597,70.341797,-149.701702
"1A-18","50029221030000",2526,70.335927,-149.652415
"1A-19","50029221110000",2280,70.337217,-149.702441
"1A-20","50029221120000",2256,70.335192,-149.628762
"1L-22","50029221140000",1001,70.259789,-149.623016
"1A-26","50029221150000",2086,70.320355,-149.6984
"1A-25","50029221160000",2304,70.320948,-149.653264
"1A-27","50029221240000",391,70.313607,-149.677669
"1A-28","50029221260000",699,70.312768,-149.650492
"1A-22","50029221270000",491,70.327715,-149.645271
"1A-23","50029221310000",2,70.343415,-149.699879
"1L-14","50029221320000",1162,70.268302,-149.671171
"1L-18","50029221450000",1077,,
"1L-13","50029221500000",985,70.259746,-149.688837
"1L-17","50029221510000",950,70.25965,-149.709084
"1R-25","50029221530000",1419,70.390711,-149.619977
"1L-29","50029221570000",1673,70.276041,-149.593342
"1L-23","50029221670000",1694,70.252263,-149.710297
"1L-24","50029221700000",1699,70.25225,-149.684308
"1L-26","50029221730000",1697,70.252255,-149.642583
"1L-25","50029221740000",1671,70.252353,-149.663602
"1L-27XX","50029221759500",1795,,
"1R-18DPNXX","50029221889500",1904,,
"1R-26","50029221930000",1411,70.382996,-149.620172
"1R-24","50029221940000",1442,70.390773,-149.593375
"1R-29","50029221950000",557,70.373963,-149.615709
"1R-23","50029222000000",1019,70.404007,-149.616966
"1R-27","50029222010000",1944,70.381542,-149.598228
"1R-22","50029222060000",1157,70.398079,-149.620107
"1R-20","50029222070000",1199,70.404498,-149.647212
"1R-21","50029222110000",1971,70.4066,-149.683358
"1R-17","50029222120000",1577,70.405527,-149.709402
"3Q-04","50029222190000",1213,70.491085,-149.860502
"3Q-01","50029222200000",1700,70.492411,-149.880624
"3Q-03","50029222210000",1134,70.499105,-149.877071
"3R-13XX","50029222409500",1443,,
"3R-14XX","50029222419500",1190,,
"3R-17","50029222420000",1178,70.498952,-149.836355
"3R-18","50029222490000",1272,70.498696,-149.860062
"3R-20","50029222500000",1364,70.491496,-149.769486
"3R-10","50029222530000",2388,70.51003,-149.784082
"3R-15","50029222580000",1043,70.504998,-149.859084
"3R-22","50029222630000",1355,70.491472,-149.81334
"3R-16XX","50029222649500",1154,,
"3R-21","50029222660000",943,70.490349,-149.792102
"3R-14","50029222680000",1993,70.511105,-149.841367
"3R-19","50029222690000",27,70.487707,-149.836395
"1H-19","50029223120000",1131,70.369358,-149.621357
"1H-20","50029223130000",1211,70.375747,-149.598796
"1H-17","50029223140000",1597,70.368086,-149.601507
"1H-16","50029223150000",1549,70.362263,-149.600298
"1H-15","50029223280000",2247,70.351899,-149.545179
"1H-01","50029223300000",1510,70.34774,-149.583385
"1H-02","50029223320000",1133,70.34671,-149.601531
"1H-18","50029223410000",1659,70.348147,-149.566781
"1H-09","50029223450000",1217,70.346939,-149.530863
"1H-10","50029223460000",383,,
"1H-11","50029223510000",1057,70.346502,-149.553205
"1H-12","50029223540000",978,70.360704,-149.544862
"1H-21","50029223550000",782,70.355899,-149.564972
"1H-13","50029223560000",1348,70.354354,-149.530449
"1H-14","50029223590000",201,70.372992,-149.582972
"1H-22","50029223640000",2565,70.351031,-149.589318
"1B-12","50029223650000",1396,70.332852,-149.554552
"1Y-17","50029223680000",2461,70.350337,-149.775769
"1Y-22","50029223690000",284,70.342648,-149.739816
"1Y-23","50029223700000",2019,70.334547,-149.732487
"1Y-24","50029223710000",168,70.328597,-149.733965
"1Y-27","50029223790000",200,70.35858,-149.712283
"1Y-28","50029223800000",2876,70.35147,-149.713159
"1Y-31","50029223810000",320,70.34255,-149.713148
"1Y-34","50029223820000",428,70.327886,-149.71394
"1Y-21","50029223870000",2357,70.351599,-149.736093
"2E-07","50029223890000",1553,70.246731,-149.709774
"1Y-18","50029223900000",292,70.358832,-149.760252
"1Y-19","50029223910000",2386,70.35152,-149.759993
"2E-06","50029224150000",1535,70.238324,-149.744095
"2E-17","50029224190000",1068,70.24541,-149.728846
"2E-18XX","50029224209500",1952,,
"2E-05","50029224230000",1293,70.246023,-149.689627
"3M-23","50029224260000",1024,70.4562,-150.031321
"2E-04XX","50029224279500",839,,
"2E-08","50029224280000",723,70.25903,-149.724478
"3M-26","50029224310000",275,70.474142,-149.946482
"3M-24","50029224320000",1375,70.448338,-150.026097
"3M-25","50029224330000",2000,70.467939,-150.005152
"3M-28","50029224420000",998,70.44186,-150.028452
"3M-27XX","50029224459500",967,,
"1B-14","50029224520000",702,70.341511,-149.628931
"1B-16","50029224570000",1675,70.333611,-149.601528
"1B-17","50029224610000",2292,70.322811,-149.583402
"1B-15","50029224650000",2129,70.323255,-149.604082
"1B-13","50029224680000",1243,70.325668,-149.62321
"1B-18","50029224720000",2090,70.320366,-149.595378
"1B-19","50029224750000",147,70.314272,-149.613221
"1R-32","50029225230000",1352,70.41193,-149.682635
"2Z-22","50029225240000",2404,70.322506,-149.719468
"1R-33","50029225290000",2429,70.422222,-149.705904
"1R-34","50029225340000",519,70.417023,-149.674626
"1R-31","50029225380000",752,70.413563,-149.70278
"2Z-23","50029225440000",1036,70.317495,-149.799738
"1Q-24","50029225840000",93,70.37219,-149.751675
"1Q-20","50029225890000",1964,70.377801,-149.76388
"1Q-26","50029225900000",2431,70.365811,-149.755692
"1Q-21","50029225910000",402,70.387939,-149.74463
"1Q-22","50029225950000",2513,70.379991,-149.734519
"1Q-23","50029225960000",500,70.37108,-149.717071
"2X-18","50029226080000",211,70.315247,-149.811973
"2X-17","50029226160000",2595,70.33636,-149.820692
"2X-19","50029226180000",301,70.344437,-149.886543
"3R-25","50029226220000",2505,70.495339,-149.84391
"3Q-22","50029226250000",1065,70.461898,-149.883574
"3R-26","50029226260000",1950,70.482468,-149.829525
"3Q-21","50029226300000",291,70.474185,-149.862246
"3M-27","50029226370000",1688,70.463598,-150.030636
"3M-29","50029226410000",2129,70.438777,-150.009455
"1F-18","50029226540000",2980,70.308447,-149.675107
"1F-17","50029226570000",836,70.302562,-149.675172
"1F-19","50029226600000",2103,70.306016,-149.636746
"1F-20","50029226610000",2223,70.277543,-149.694009
"3F-19","50029226800000",379,70.38581,-149.933254
"3F-18","50029226840000",2772,70.36488,-149.933376
"3F-17","50029226850000",2388,70.378957,-149.947196
"3A-17","50029226910000",1150,70.398099,-149.906944
"3A-18","50029226920000",425,70.400074,-149.892832
"3J-17","50029227000000",2368,70.407682,-149.817563
"3J-18","50029227010000",2255,70.409471,-149.888515
"3J-19","50029227020000",749,70.432211,-149.856917
"1C-11","50029227140000",1712,70.348291,-149.510437
"1C-12","50029227190000",1704,70.304928,-149.399255
"2F-18","50029227200000",1296,70.253346,-149.849073
"2F-19","50029227280000",1764,70.252073,-149.822911
"2F-05X","50029227300000",1895,70.280714,-149.859482
"2F-17","50029227310000",1060,70.253988,-149.872691
"2V-17XX","50029227369500",2906,,
"2F-20","50029227390000",540,70.272949,-149.900679
"3O-20","50029227500000",1273,70.45552,-149.754075
"3K-27","50029227510000",1712,70.434841,-149.702234
"3O-19","50029227530000",1363,70.455275,-149.804563
"3K-22","50029227590000",1895,70.453823,-149.743749
"3K-32","50029227630000",1206,70.426698,-149.70192
"3K-26","50029227640000",669,70.431993,-149.692944
"3K-23","50029227710000",1512,70.448712,-149.726985
"3K-35","50029227750000",900,70.41806,-149.744898
"3K-30","50029227770000",516,70.445993,-149.716928
"1E-32","50029227880000",2086,70.280192,-149.58497
"1E-31","50029227910000",269,70.286618,-149.585843
"1E-33","50029227970000",2303,70.294004,-149.530543
"1E-34","50029228050000",825,70.283633,-149.558625
"1C-13","50029228560000",2258,70.337277,-149.484521
"1C-14","50029228610000",1642,70.333355,-149.432833
"1D-10","50029228700000",1716,70.295605,-149.487552
"1C-17","50029228720000",72,70.343812,-149.533574
"1C-17XX","50029228729500",458,,
"1D-09","50029228750000",1589,70.304615,-149.513702
"3K-34","50029228790000",2380,70.422088,-149.675827
"3K-25","50029228810000",2595,70.451913,-149.755917
"3K-31","50029228820000",37,70.429878,-149.740167
"1E-35","50029229250000",1962,70.27683,-149.567587
"1E-36","50029229270000",1869,70.280785,-149.601011
"1C-15","50029229320000",341,70.32998,-149.449182
"1C-16","50029229340000",946,70.340847,-149.438741
"3K-24","50029229350000",609,70.457332,-149.729911
"1C-18","50029229390000",1042,70.331888,-149.518405
"1C-21XX","50029229409500",9,,
"1C-25","50029229410000",1494,70.324984,-149.436883
"1C-23","50029229420000",235,70.328412,-149.40008
"1C-27","50029229430000",2324,70.321003,-149.40471
"1C-26","50029229440000",2522,70.307801,-149.416177
"1G-17","50029229450000",574,70.356467,-149.692739
"1D-11","50029229460000",2627,70.29312,-149.443736
"3F-20","50029229470000",1743,70.382091,-149.939511
"1D-12","50029229480000",474,70.301576,-149.462815
"1D-14","50029229500000",980,70.312003,-149.527699
"1L-28","50029229510000",1597,70.281527,-149.606005
"1D-38","50029229610000",797,70.269299,-149.484723
"1D-30","50029229650000",231,70.285254,-149.447146
"1D-40","50029229690000",646,70.273238,-149.511221
"1D-36","50029229730000",2556,70.27891,-149.486065
"1D-34","50029229750000",1092,70.268493,-149.449239
"1D-42","50029229790000",202,70.285333,-149.521686
"1D-32","50029229820000",2146,70.277332,-149.448043
"1A-24","50029229840000",2060,70.320284,-149.673862
"1J-14","50029229900000",44,0.0,0.0
"3F-21","50029229910000",560,70.388369,-149.919247
"1D-37","50029229920000",285,70.285107,-149.469983
"1D-39","50029229970000",1565,70.275747,-149.46528
"1J-03","50029230020000",1448,70.267521,-149.456536
"1J-09","50029230060000",1724,70.28118,-149.542794
"1J-10","50029230100000",541,70.272951,-149.583661
"3K-20","50029230190000",261,70.445297,-149.686302
"3K-19","50029230220000",2523,70.451471,-149.705511
"1R-35","50029230500000",1999,,
"3N-19","50029230560000",2305,,
"1R-36","50029230570000",659,,
"1M-17","50029230580000",958,,
"1C-24","50029230630000",1256,,
"1C-22","50029231270000",2018,,
"2G-17","50029231340000",609,,
"1C-19","50029231490000",926,,
"1","50029231600000",765,,
"1B-20","50029231640000",2683,,
"2XX","50029231660000",1880,,
"1D-28","50029232370000",113,,
"1C-21","50029232530000",302,,
"1C-28","50029232700000",686,,
"1C-20","50029232730000",372,,
"1D-41","50029232880000",1358,,
"1","50029232990000",1813,,
"2W-17","50029233700000",220,,
"3C-17","50029233890000",2138,,
"2E-04","50029235050000",333,,
"2E-03","50029235090000",4750,,
"2E-01","50029235160000",1731,,
"2E-02","50029235170000",1121,,
"2F-21","50029235250000",1384,,
"2F-22","50029235300000",3219,,
"1","50103100020000",940,70.3606,-150.265196
"1","50103100030000",2630,70.293058,-150.47539
"1","50103200010000",1331,70.404857,-150.069896
"15XX","50103200129500",3200,,
"15","50103200130000",1800,70.247403,-150.153035
"17XX","50103200149500",2200,,
"18XX","50103200159500",1700,,
"20","50103200180000",3132,70.161801,-150.162507
"18","50103200190000",2412,70.308101,-150.135233
"2A-01","50103200230000",1035,70.311853,-150.002662
"2A-02","50103200240000",1453,70.304244,-150.000836
"2A-03","50103200250000",1676,70.295714,-149.99972
"2A-04","50103200260000",1159,70.289046,-150.00225
"2H-04","50103200270000",1245,70.268075,-150.002444
"2A-06","50103200280000",1392,70.296488,-150.046389
"2A-07","50103200290000",1369,70.304015,-150.047504
"2A-05","50103200300000",973,70.288538,-150.045177
"2H-03","50103200310000",1371,70.275217,-150.001951
"2H-02","50103200320000",1175,70.282678,-150.002832
"2H-01","50103200330000",1298,70.260601,-150.000763
"2H-15","50103200340000",1230,70.274832,-150.045662
"2H-16","50103200350000",1230,70.282528,-150.046971
"2H-14","50103200360000",1106,70.260076,-150.048288
"2H-13","50103200370000",1471,70.267458,-150.048223
"2A-13","50103200390000",1322,70.311071,-149.977732
"2A-14","50103200400000",1318,70.303876,-149.978895
"2A-15","50103200410000",1437,70.296365,-149.97892
"2A-16","50103200420000",840,70.288176,-149.97858
"2H-05","50103200430000",1404,70.275307,-149.979259
"2H-06","50103200440000",1152,70.282741,-149.979122
"2H-07","50103200450000",1448,70.267521,-149.979566
"2H-08","50103200460000",1113,70.260095,-149.979978
"2A-08","50103200490000",1172,70.311479,-150.047141
"2H-09","50103200500000",1095,70.282897,-150.024303
"2H-10","50103200510000",1098,70.260054,-150.022954
"2H-11","50103200520000",1496,70.26739,-150.023891
"2H-12","50103200530000",1544,70.275689,-150.023067
"2A-10","50103200560000",1487,70.296229,-150.024085
"2A-11","50103200570000",1274,70.303756,-150.0252
"2A-12","50103200580000",1202,70.311398,-150.023705
"2A-09","50103200590000",1248,70.289288,-150.024101
"2T-17","50103200600000",1410,70.318513,-149.978709
"2T-14","50103200610000",901,70.317127,-150.024166
"2T-15","50103200620000",1233,70.318031,-150.00507
"2T-16","50103200630000",1160,70.317833,-150.044312
"2T-10","50103200640000",1523,70.324905,-150.046171
"2T-11","50103200650000",1684,70.324467,-150.002428
"2T-12","50103200660000",1293,70.325531,-150.024336
"2T-13","50103200670000",1399,70.325243,-149.976964
"2T-06","50103200680000",1304,70.339873,-149.980705
"2T-07","50103200690000",1409,70.332887,-150.024804
"2T-08","50103200700000",1452,70.333004,-149.978661
"2T-09","50103200710000",1303,70.332599,-150.001555
"2T-02","50103200720000",1383,70.339658,-150.047189
"2T-03","50103200730000",978,70.34076,-150.025087
"2T-04","50103200740000",1057,70.331929,-150.046139
"2T-05","50103200750000",1010,70.340673,-150.002209
"3H-04","50103200760000",1422,70.405105,-149.978932
"3H-05","50103200770000",1061,70.404122,-150.025043
"3H-06","50103200780000",1473,70.4116,-150.047247
"3H-07","50103200790000",959,70.403844,-150.046541
"3H-08","50103200800000",840,70.413324,-150.028679
"3H-17","50103200810000",1124,70.426921,-150.003603
"3H-15","50103200820000",1308,70.419171,-150.047141
"3H-02","50103200830000",1217,70.397916,-149.998117
"3H-01","50103200840000",964,70.398605,-150.022925
"3H-03","50103200850000",1619,70.396821,-149.978461
"3H-09","50103200860000",1431,70.40513,-149.999042
"3H-10","50103200870000",1331,70.411987,-149.997159
"3H-12","50103200880000",1565,70.41987,-150.003181
"3H-13","50103200890000",1571,70.419887,-150.024443
"3H-19","50103200900000",1106,70.42697,-150.024662
"3H-11","50103200910000",1316,70.412028,-149.978656
"3H-11A","50103200910100",125,,
"3H-14","50103200920000",3338,70.420896,-149.98286
"3H-20","50103200930000",1129,70.426907,-149.98622
"3H-21","50103200940000",1821,70.435139,-149.981436
"3H-18","50103200950000",1456,70.419574,-150.070107
"3H-16","50103200960000",1415,,
"3H-22","50103200970000",1241,70.433555,-150.002446
"2K-05","50103200980000",1229,70.253529,-150.000015
"2K-04","50103200990000",1282,70.253384,-150.071765
"2K-03","50103201000000",1156,70.253727,-150.046593
"2K-02","50103201010000",1430,70.252982,-150.026443
"2K-01","50103201020000",1350,70.253199,-149.981337
"10-8/1","50103201030000",586,70.212136,-150.098643
"2K-10","50103201060000",1236,70.245868,-150.005045
"2K-07","50103201070000",1342,70.246156,-149.976839
"2K-09","50103201080000",1453,70.246458,-150.023047
"2K-12","50103201090000",1348,70.238833,-149.998012
"2K-06","50103201100000",1684,70.247087,-150.04574
"2K-08","50103201110000",1214,70.245808,-150.064209
"2K-14","50103201120000",1390,70.238718,-150.045805
"2K-15","50103201130000",1494,70.238435,-149.978392
"2K-11","50103201140000",1286,70.239002,-150.020681
"2K-16","50103201150000",1362,70.231834,-150.023103
"2K-13","50103201160000",1411,70.238661,-150.066792
"2K-18","50103201170000",1191,,
"2K-19","50103201180000",1387,70.231902,-150.068232
"2K-22","50103201190000",1696,70.223503,-150.022733
"2K-22A","50103201190100",198,,
"2K-20","50103201200000",431,70.229298,-150.052379
"2K-17","50103201210000",1177,,
"2K-24","50103201220000",1520,70.223982,-149.997995
"2K-21","50103201230000",1519,70.223985,-150.050504
"2K-25","50103201240000",1121,,
"2K-23","50103201250000",1021,70.230905,-149.961316
"2K-26","50103201260000",1534,70.238326,-149.954379
"3G-07","50103201270000",1484,70.390888,-149.982365
"3G-08","50103201280000",1265,70.368992,-149.980782
"3G-09","50103201290000",1196,70.361299,-149.980652
"3G-06","50103201300000",1423,70.376325,-149.976619
"3G-12","50103201310000",1582,70.376759,-150.000454
"3G-05","50103201320000",332,70.385938,-149.974891
"3G-11","50103201330000",685,70.384975,-149.99806
"3G-10","50103201340000",2238,70.392943,-149.994343
"3G-16","50103201350000",1337,70.361684,-149.995544
"3G-19","50103201360000",2069,70.366799,-150.025863
"3G-13","50103201370000",2312,70.366135,-150.045672
"3G-14","50103201380000",1041,70.375283,-150.025514
"3G-15","50103201390000",1364,70.383124,-150.049568
"3G-17","50103201400000",1820,70.391804,-150.014964
"3G-20","50103201410000",1224,70.361376,-150.026463
"3G-18","50103201420000",993,70.360745,-150.023461
"3G-04","50103201430000",2206,,
"3G-23","50103201440000",2151,70.378311,-150.046257
"3G-24","50103201450000",1133,70.398145,-150.040608
"3G-02","50103201460000",1500,70.382753,-150.025546
"3G-22","50103201470000",1296,70.368908,-150.061927
"3G-21","50103201480000",1241,70.361422,-150.064143
"10-7/1","50103201490000",1342,70.181261,-150.26045
"2M-17","50103201500000",1120,70.260115,-150.085518
"2M-18","50103201510000",1002,70.28315,-150.086367
"2M-25","50103201520000",1020,70.274259,-150.065275
"2M-16","50103201530000",1846,70.276514,-150.083813
"2M-15","50103201540000",1412,70.275329,-150.108808
"2M-21","50103201560000",2237,70.291986,-150.069364
"2M-10","50103201570000",1349,70.282203,-150.107814
"2M-19","50103201580000",1077,70.288822,-150.087886
"2M-11","50103201590000",1294,70.289414,-150.109697
"2M-03","50103201600000",1119,70.274529,-150.127669
"2M-13","50103201610000",889,70.29786,-150.110359
"2M-05","50103201680000",1202,70.282605,-150.129439
"2M-20","50103201690000",835,70.283606,-150.06298
"2M-22","50103201700000",1355,70.260756,-150.066358
"2M-24","50103201710000",1182,70.268247,-150.066147
"2M-26","50103201720000",1406,70.267636,-150.083441
"2M-14","50103201730000",1463,70.252892,-150.085019
"2M-28","50103201740000",1442,70.267538,-150.152769
"2M-27","50103201750000",1372,70.267729,-150.130142
"2M-06","50103201760000",1403,70.289711,-150.130086
"2M-09","50103201770000",1170,70.245688,-150.083675
"2M-07","50103201780000",1351,70.253197,-150.115768
"2M-02","50103201790000",1137,70.253779,-150.136828
"2M-30","50103201800000",789,70.25921,-150.105066
"2M-12","50103201810000",1476,70.267445,-150.109616
"2M-04","50103201820000",1477,70.246524,-150.126583
"2M-29","50103201830000",789,70.254726,-150.164977
"2M-08","50103201840000",4189,70.245473,-150.103922
"2M-01","50103201850000",1143,70.274606,-150.151501
"2M-32","50103201860000",3386,70.247659,-150.153148
"3W-07","50103201910000",2429,70.452366,-150.150527
"2A-21","50103201920000",1499,70.30437,-150.08909
"2A-17","50103201930000",1204,70.311392,-150.067788
"2A-23","50103201940000",1390,70.310885,-150.084977
"2A-24","50103201950000",1288,70.303794,-150.068305
"2A-20","50103201960000",1269,70.296824,-150.084096
"2A-19","50103201970000",1420,70.296412,-150.068265
"2A-22XX","50103201989500",2438,,
"2A-18XX","50103201999500",184,,
"3H-24XX","50103202009500",1432,,
"3H-25","50103202030000",1440,70.41953,-150.088878
"3H-23","50103202040000",1675,70.425422,-150.046435
"3H-31","50103202050000",1707,70.434828,-149.990002
"3H-30XX","50103202069500",940,,
"3H-26","50103202080000",2562,70.40821,-150.01356
"3H-29XX","50103202099500",885,,
"2T-21","50103202120000",700,70.316579,-150.086059
"2T-18","50103202130000",1636,70.324597,-150.072685
"2T-19","50103202140000",1605,70.324682,-150.062753
"2T-20","50103202150000",1654,70.348133,-149.984978
"2T-23","50103202160000",592,70.356418,-150.044171
"2T-27","50103202170000",1328,70.347243,-150.022633
"2T-32","50103202180000",1137,70.35493,-150.068095
"2T-30","50103202190000",1992,70.352596,-150.015613
"2A-18","50103202200000",1323,70.296676,-150.011899
"2A-22","50103202210000",1676,70.310106,-150.10926
"2T-29","50103202220000",1470,70.347631,-150.046679
"2T-26","50103202230000",1352,70.347308,-150.00159
"2T-22","50103202240000",2315,70.335353,-150.066479
"2T-28","50103202250000",1821,70.353063,-150.001046
"2T-31","50103202260000",1838,70.353016,-149.980336
"2T-37","50103202270000",1358,70.318372,-150.069929
"2T-36","50103202280000",467,70.315945,-150.107814
"2T-38","50103202290000",2487,70.321447,-150.094634
"3H-24","50103202350000",2516,70.437037,-149.994427
"3H-28","50103202360000",3659,70.425569,-150.107008
"3H-27XX","50103202379500",866,,
"2A-25","50103202390000",1240,70.303664,-150.111725
"2M-33","50103202400000",1462,70.246483,-150.182834
"2M-31","50103202410000",1724,70.261764,-150.175825
"2M-34","50103202420000",181,70.24201,-150.170707
"2M-35","50103202430000",1102,70.239503,-150.126173
"3G-25","50103202440000",808,70.38464,-150.018348
"3G-03","50103202450000",2155,70.380967,-149.978827
"3G-25X","50103202460000",1573,70.39113,-150.027535
"3G-26","50103203030000",2542,70.393771,-149.972188
"3H-32","50103203220000",351,70.431124,-150.093903
"2H-17","50103203290000",2199,70.277477,-150.03649
"2T-217","50103203340000",1839,70.348638,-150.000933
"1","50103203610000",2488,0.0,0.0
"2K-28","50103203850000",2395,,
"2K-27","50103203880000",1766,,
"2T-39","50103203920000",1040,,
"2L-03","50103203980000",1730,,
"3S-07","50103204300000",1097,,
"3S-09","50103204320000",2744,,
"3S-18","50103204330000",1617,,
"3S-14","50103204390000",352,,
"3S-10","50103204400000",1746,,
"3S-15","50103204440000",1638,,
"3S-16","50103204450000",2377,,
"3S-22","50103204460000",2002,,
"3S-17","50103204480000",680,,
"3S-08","50103204500000",515,,
"3S-21","50103204520000",2030,,
"3S-23","50103204530000",147,,
"3S-06","50103204540000",1993,,
"3S-24","50103204560000",999,,
"3S-03","50103204580000",294,,
"3S-19","50103204600000",2176,,
"3S-20XX","50103204620000",1896,,
"2A-26","50103205750000",2370,,
"3H-33","50103205780000",752,,
"2A-27","50103206040000",1227,,
"3H-34","50103206430000",2065,,
"1","50103206470000",1791,,
"2T-41","50103206750000",819,,
"2K-29","50103206870000",1407,,
"2K-34","50103206880000",4930,,
"2M-36","50103206910000",2609,,
"2S-02","50103207100000",1875,,
"2S-07","50103207130000",1935,,
"2S-10","50103207170000",1023,,
"2S-13","50103207200000",1984,,
"2S-04","50103207210000",3310,,
"2S-08","50103207220000",522,,
"2S-01","50103207270000",4767,,
"2S-03","50103207290000",2216,,
"2S-11","50103207320000",1920,,
"2S-14","50103207330000",5080,,
"2S-05","50103207390000",4115,,
"2S-12","50103207430000",2991,,
"2M-37","50103207450000",3900,,
"2M-38","50103207460000",1304,,
"2S-06","50103207470000",3563,,
"2S-09","50103207490000",4690,,
"2K-32","50103207570000",1885,,
"2K-30","50103207580000",1637,,
"2M-41","50103207900000",831,,
"2M-39","50103207950000",4945,,
"3G-27","50103208010000",689,,
"3G-28","50103208020000",2831,,
"2M-40","50103208040000",4232,,
"3H-35","50103208050000",4123,,
"3H-37","50103208220000",2181,,
"3H-36","50103208380000",1633,,
