"well_name","ReportDate","WellType","Vol_Liq","Vol_Gas"
M-01,1988-11-01 00:00:00.000,"4",0,0
M-01,1989-10-01 00:00:00.000,"4",0,0
M-01,2001-12-01 00:00:00.000,"4",0,0
M-01,1996-04-01 00:00:00.000,"4",0,0
M-01,1998-11-01 00:00:00.000,"4",0,0
M-01,1999-12-01 00:00:00.000,"4",0,0
M-01,1991-04-01 00:00:00.000,"4",0,0
M-01,1994-12-01 00:00:00.000,"4",0,0
M-01,2000-02-01 00:00:00.000,"4",0,0
M-01,1990-11-01 00:00:00.000,"4",0,0
M-01,1992-12-01 00:00:00.000,"4",0,0
M-01,1998-03-01 00:00:00.000,"4",0,0
M-01,1986-03-01 00:00:00.000,"4",213563,0
M-01,1996-03-01 00:00:00.000,"4",0,0
M-01,1997-11-01 00:00:00.000,"4",0,0
M-01,2002-01-01 00:00:00.000,"4",0,0
M-01,2000-11-01 00:00:00.000,"4",0,0
M-01,1996-10-01 00:00:00.000,"4",0,0
M-01,1988-08-01 00:00:00.000,"4",0,0
M-01,1986-04-01 00:00:00.000,"4",213282,0
M-01,1998-12-01 00:00:00.000,"4",0,0
M-01,1991-09-01 00:00:00.000,"4",0,0
M-01,2001-04-01 00:00:00.000,"4",0,0
M-01,1984-08-01 00:00:00.000,"4",70424,0
M-01,1988-07-01 00:00:00.000,"4",0,0
M-01,1987-04-01 00:00:00.000,"4",259144,0
M-01,1994-06-01 00:00:00.000,"4",0,0
M-01,1995-06-01 00:00:00.000,"4",0,0
M-01,1997-05-01 00:00:00.000,"4",0,0
M-01,1985-10-01 00:00:00.000,"4",211387,0
M-01,1993-02-01 00:00:00.000,"4",0,0
M-01,1999-09-01 00:00:00.000,"4",0,0
M-01,1988-12-01 00:00:00.000,"4",0,0
M-01,1988-06-01 00:00:00.000,"4",0,0
M-01,1987-10-01 00:00:00.000,"4",0,0
M-01,2001-01-01 00:00:00.000,"4",0,0
M-01,2000-04-01 00:00:00.000,"4",0,0
M-01,1999-02-01 00:00:00.000,"4",0,0
M-01,1992-02-01 00:00:00.000,"4",0,0
M-01,1998-09-01 00:00:00.000,"4",0,0
M-01,1997-07-01 00:00:00.000,"4",0,0
M-01,2000-07-01 00:00:00.000,"4",0,0
